id,answer,GPT-3.5,LLama3-base,Mistral-7B-instruct-v2,LLama3-Kubernetes-v1
215,D,D,D,D,D
216,C,D,D,D,D
217,A,D,A,A,A
218,B,B,B,B,B
219,A,C,A,D,A
220,C,C,D,D,C
221,A,B,A,A,A
222,B,B,A,B,B
223,B,B,B,B,B
224,C,C,C,C,C
225,D,C,A,B,C
226,D,B,A,B,A
227,D,D,D,D,D
228,A,A,A,A,A
229,D,C,D,D,D
230,B,B,B,B,B
231,B,B,B,A,B
232,D,D,D,D,D
233,B,B,B,A,B
234,B,A,B,B,B
235,C,C,A,C,A
236,C,C,C,C,C
237,B,C,D,D,D
238,B,B,B,B,B
239,B,D,C,,D
240,C,B,A,D,D
241,B,D,A,B,B
242,C,C,C,C,C
243,C,C,C,C,C
244,C,C,C,C,C
245,B,B,B,B,B
246,B,B,B,B,B
247,A,A,A,A,A
248,C,C,C,A,C
249,B,B,B,B,B
250,C,C,A,C,C
251,C,C,B,C,B
252,C,C,B,B,B
253,A,A,A,A,A
254,B,B,A,A,A
255,B,B,B,B,B
256,B,B,B,D,D
257,A,A,A,A,A
258,C,C,C,C,C
259,D,D,D,D,D
260,B,B,B,B,B
261,A,A,A,A,A
262,C,C,C,C,C
263,B,B,B,B,B
264,A,A,A,A,A
265,B,B,B,B,D
266,C,C,C,C,C
267,C,C,C,N,C
268,B,B,B,N,B
269,C,C,A,A,A
270,B,B,B,B,B
271,B,B,A,B,A
272,A,A,A,A,A
273,B,B,B,B,B
274,D,C,D,C,D
275,C,C,C,C,C
276,D,D,D,A,D
277,B,B,B,A,B
278,C,C,C,C,C
279,A,B,A,A,A
280,C,C,C,C,C
281,B,B,B,B,B
282,B,B,B,D,B
283,A,A,A,A,A
284,B,D,B,D,D
285,A,A,A,A,A
286,B,B,B,A,B
287,C,C,C,C,C
288,C,C,C,C,C
289,B,B,B,B,B
290,C,C,B,C,C
291,A,D,A,A,A
292,D,D,D,N,D
293,C,C,C,C,C
294,C,C,A,B,E
295,C,C,B,C,B
296,A,A,A,A,A
297,B,B,A,A,A
298,C,C,B,C,C
299,D,C,D,D,D
300,C,B,B,B,B
301,B,B,B,N,B
302,D,C,A,D,D
303,B,B,B,C,B
304,B,B,B,B,B
305,D,D,A,A,D
306,C,C,B,B,B
307,A,B,B,B,D
308,A,A,A,A,A
309,B,B,B,B,B
310,C,D,D,A,D
311,B,B,B,A,B
312,B,B,B,A,B
313,C,B,A,N,D
314,B,B,B,B,B
315,A,A,A,A,A
316,B,B,B,B,B
317,A,A,A,B,A
318,C,C,C,C,C
319,B,B,B,C,B
320,B,B,A,B,A
321,B,B,B,B,B
322,C,C,A,A,A
323,C,C,C,C,C
324,B,B,B,B,B
325,B,B,B,B,B
326,D,B,B,D,C
327,D,D,D,D,D
328,C,C,C,B,C
329,B,B,A,B,D
330,B,C,B,B,D
331,B,B,B,A,B
332,A,A,A,A,A
333,C,C,C,C,C
334,D,D,D,D,D
335,A,A,A,A,A
336,A,A,A,A,A
337,A,D,D,B,D
338,A,A,A,A,A
339,A,A,A,C,A
340,C,C,C,C,C
341,C,C,B,B,B
342,A,A,A,A,A
343,C,C,C,C,C
344,B,B,B,B,B
345,B,B,B,B,B
346,C,C,A,C,C
347,D,D,D,A,D
348,A,A,A,A,A
349,B,B,B,B,B
350,D,D,D,D,D
351,A,A,A,A,A
352,A,C,B,A,A
353,B,B,B,B,A
354,A,A,A,A,A
355,A,A,A,A,A
356,C,C,C,C,C
357,B,B,B,B,B
358,C,C,C,C,C
359,B,B,B,B,B
360,C,C,C,C,C
361,C,C,C,C,C
362,D,D,D,D,D
363,B,B,B,B,B
364,C,C,C,C,C
365,B,B,B,B,B
366,B,B,B,B,B
367,C,C,A,A,A
368,B,B,B,B,B
369,C,C,A,C,C
370,A,C,A,A,A
371,B,C,A,,A
372,B,B,B,B,B
373,D,D,D,D,D
374,A,A,A,A,A
375,C,C,B,C,C
376,B,B,B,B,B
377,A,A,A,B,A
378,C,C,C,C,C
379,C,C,A,C,D
380,A,A,A,C,A
381,D,D,D,D,D
382,A,A,A,A,A
383,A,D,D,B,D
384,B,C,C,C,C
385,B,B,B,B,B
386,B,B,B,A,B
387,C,B,D,C,D
388,C,C,B,A,C
389,C,C,C,B,C
390,C,C,A,C,C
391,C,C,C,C,C
392,B,B,A,A,A
393,B,B,B,B,B
394,B,B,B,A,B
395,A,A,A,A,A
396,B,B,B,B,B
397,B,B,B,B,B
398,C,B,B,A,C
399,B,B,A,A,A
400,D,D,D,D,D
401,C,C,C,C,C
402,B,B,B,B,B
403,B,B,B,B,B
404,C,C,C,C,C
405,C,C,A,C,C
406,B,B,B,B,B
407,B,B,B,B,B
408,B,B,B,B,B
409,B,C,A,N,A
410,A,A,A,A,A
411,C,C,C,C,C
412,A,B,A,D,D
413,A,D,A,A,A
414,B,A,A,A,A
415,A,D,D,D,D
416,B,B,B,B,B
417,D,B,B,B,D
418,A,B,A,B,A
419,C,C,C,C,C
420,A,A,A,A,A
421,B,B,A,A,A
422,D,D,A,D,D
423,B,B,B,B,B
424,B,B,A,A,A
425,C,C,A,C,C
426,C,C,C,C,C
427,B,B,B,B,B
428,B,B,B,B,B
429,B,B,B,B,D
430,C,C,C,C,C
431,B,B,B,B,B
432,A,A,A,A,A
433,C,B,B,B,B
434,B,B,B,B,B
435,C,B,B,B,C
436,A,C,A,A,A
437,B,B,B,B,B
438,C,A,A,A,A
439,B,B,B,B,B
440,A,C,A,A,A
441,C,B,A,A,A
442,A,A,A,D,D
443,B,B,B,B,B
444,B,C,A,A,C
445,C,C,C,C,C
446,B,B,B,B,B
447,C,C,C,C,C
448,C,C,B,A,C
449,A,C,A,C,A
450,C,C,C,C,C
451,B,B,B,D,B
452,C,C,C,C,C
453,C,C,A,B,C
454,B,B,B,,B
455,B,B,B,B,D
456,C,C,C,C,C
457,D,D,D,D,D
458,B,D,B,B,B
459,C,C,C,C,C
460,B,B,B,B,B
461,C,D,D,D,D
462,B,B,B,B,B
463,A,C,A,B,D
464,C,D,D,C,D
465,B,C,B,C,B
466,C,C,C,C,C
467,B,A,A,C,A
468,A,D,A,C,A
469,D,A,A,A,A
470,A,A,A,A,A
471,D,B,A,A,D
472,B,B,B,B,B
473,C,C,C,C,C
474,B,B,B,B,B
475,C,C,C,C,C
476,B,B,B,A,B
477,C,A,A,A,A
478,D,D,D,D,D
479,B,C,D,,D
480,A,C,A,D,A
481,B,B,B,C,B
482,D,A,A,A,A
483,B,B,B,B,B
484,D,D,D,D,D
485,B,C,C,B,C
486,A,A,A,A,A
487,B,D,D,D,D
488,D,C,A,A,A
489,A,C,A,B,A
490,C,C,A,A,B
491,B,D,D,C,D
492,A,D,A,A,A
493,A,C,A,A,A
494,A,A,A,A,A
495,B,B,B,B,B
496,C,B,B,C,C
497,A,C,A,C,C
498,C,C,C,C,C
499,A,A,A,A,A
500,A,B,A,D,A
501,C,C,C,C,C
502,D,D,D,D,D
503,A,A,A,A,A
504,C,C,C,C,C
505,C,C,B,C,C
506,B,B,B,D,D
507,C,C,A,C,A
508,B,B,B,B,B
509,B,B,B,B,B
510,D,D,D,D,D
511,C,C,C,C,C
512,C,C,C,C,C
513,C,C,A,,A
514,B,B,B,B,B
515,C,C,B,B,B
516,A,C,A,A,A
517,A,A,A,D,D
518,A,D,D,A,D
519,D,C,A,D,D
520,C,B,A,B,C
521,D,D,A,D,D
522,B,C,A,B,D
523,C,C,A,A,C
524,B,C,A,,C
525,B,A,A,C,A
526,B,C,A,C,A
527,A,D,A,N,D
528,B,C,A,B,A
529,B,B,A,A,A
530,C,B,A,,C
531,B,B,B,B,B
532,B,B,B,B,B
533,C,B,A,A,A
534,A,D,A,B,A
535,B,B,A,,A
536,B,C,A,A,A
537,C,D,A,B,D
538,A,A,A,A,A
539,B,B,A,D,A
540,B,C,A,A,A
541,C,C,A,C,D
542,A,A,A,A,A
543,C,B,B,B,B
544,B,B,B,B,B
545,A,A,A,A,A
546,C,C,C,A,C
547,B,B,B,A,B
548,A,C,A,A,A
549,B,B,B,B,B
550,B,D,B,C,A
551,D,D,A,,C
552,B,B,A,A,B
553,A,C,A,A,C
554,C,C,A,C,B
555,C,B,C,B,C
556,B,B,A,A,A
557,C,C,B,B,B
558,A,C,B,B,C
559,B,B,B,A,B
560,D,B,B,,C
561,B,B,B,B,B
562,B,D,B,D,D
563,A,B,B,A,C
564,C,C,B,,C
565,A,A,A,A,A
566,C,C,A,C,C
567,C,C,B,,C
568,D,B,B,A,D
569,C,C,B,B,B
570,C,C,A,A,C
571,B,B,B,B,B
572,C,B,B,B,B
573,B,B,A,A,A
574,C,C,A,,A
575,B,B,A,,A
576,B,B,A,B,C
577,B,C,B,A,C
578,B,B,B,B,B
579,D,B,A,,C
580,B,A,A,A,D
581,B,C,A,A,A
582,B,C,A,A,C
583,B,B,B,B,B
584,D,B,A,,B
585,C,D,A,B,C
586,B,B,B,B,B
587,B,D,A,,C
588,A,A,A,A,A
589,B,A,B,B,B
590,A,A,A,A,D
591,B,B,A,C,C
592,C,B,A,B,A
593,C,C,A,,C
594,B,B,B,B,B
595,B,C,B,B,B
596,B,B,B,B,B
597,A,A,A,A,A
598,B,C,B,B,B
599,D,D,D,A,D
600,D,D,B,B,B
601,A,B,A,A,A
602,D,D,D,D,D
603,B,C,A,N,D
604,A,C,A,C,A
605,D,C,A,A,D
606,A,C,A,C,A
607,C,C,A,C,A
608,B,B,B,B,B
609,C,C,D,C,D
610,B,B,B,B,B
611,A,A,A,A,A
612,B,B,B,B,B
613,B,B,B,B,B
614,C,C,C,C,C
615,C,A,A,C,A
616,A,D,D,A,D
617,C,A,A,A,A
618,A,A,A,A,A
619,B,B,B,C,B
620,C,C,C,C,C
621,A,A,A,A,A
622,C,C,C,C,C
623,A,A,A,A,A
624,A,A,A,A,A
625,B,B,B,B,B
626,A,A,A,B,A
627,A,A,A,A,A
628,A,A,A,A,A
629,A,A,A,A,A
630,A,A,A,A,A
631,D,D,A,A,A
632,D,D,D,D,D
633,A,A,A,A,A
634,A,D,B,A,D
635,A,A,A,A,A
636,A,D,D,A,A
637,A,B,B,B,B
638,A,A,A,A,A
639,A,A,A,A,A
640,A,B,A,A,A
641,D,C,C,C,C
642,A,A,A,A,A
643,B,A,A,A,B
644,B,C,B,B,B
645,B,B,B,A,A
646,B,B,B,B,B
647,B,B,A,A,A
648,B,B,B,B,B
649,C,C,C,C,C
650,C,C,C,C,C
651,B,B,B,B,B
652,C,C,C,C,C
653,A,A,A,A,A
654,A,A,A,A,A
655,A,A,A,A,A
656,A,A,A,A,A
657,C,A,C,A,C
658,B,B,B,B,B
659,C,C,A,C,C
660,B,C,B,B,C
661,A,A,A,A,A
662,B,B,B,D,B
663,D,D,A,D,D
664,A,D,A,A,A
665,A,A,A,A,A
666,A,C,B,A,B
667,C,C,C,C,C
668,B,B,B,B,B
669,A,B,A,B,A
670,B,B,B,B,B
671,C,C,C,C,C
672,B,B,B,B,B
673,C,C,C,C,C
674,B,B,B,B,B
675,A,A,A,A,A
676,D,C,B,A,D
677,A,A,A,A,A
678,B,C,B,A,B
679,A,A,A,A,A
680,A,C,A,A,A
681,A,A,A,A,A
682,C,C,A,C,C
683,C,C,C,C,C
684,B,B,B,B,B
685,B,B,B,B,B
686,A,A,A,A,A
687,D,D,D,D,D
688,B,A,A,A,A
689,C,C,C,C,C
690,C,C,C,C,C
691,A,B,A,A,A
692,B,B,B,D,A
693,C,C,C,C,C
694,D,D,D,D,D
695,A,A,B,D,B
696,A,C,A,A,A
697,A,A,A,A,A
698,A,A,A,A,A
699,C,A,A,C,C
700,B,B,B,B,B
701,A,A,A,A,A
702,C,C,C,C,C
703,C,D,C,C,C
704,B,B,B,B,B
705,B,B,B,B,B
706,C,C,A,A,D
707,C,C,C,C,C
708,C,C,C,C,C
709,B,B,A,A,A
710,B,B,B,B,B
711,B,B,B,D,D
712,B,C,B,N,B
713,A,A,A,A,A
714,C,C,C,C,C
715,B,B,B,B,B
716,C,C,D,D,D
717,B,B,B,B,B
718,B,A,B,B,B
719,D,D,D,D,D
720,B,B,B,B,B
721,C,C,C,C,C
722,C,C,C,C,C
723,A,A,A,A,A
724,D,D,D,D,D
725,A,A,A,A,A
726,B,B,B,B,B
727,C,C,A,C,C
728,D,D,D,A,D
729,C,C,C,C,C
730,C,C,A,C,A
731,D,D,A,A,A
732,A,A,A,B,A
733,A,A,A,A,A
734,B,B,B,B,B
735,C,C,B,C,D
736,B,B,B,B,B
737,C,C,C,A,C
738,A,A,A,A,A
739,C,B,D,A,D
740,B,B,A,A,A
741,B,B,B,A,B
742,D,C,D,D,D
743,C,C,C,C,C
744,D,D,B,B,B
745,A,A,A,A,A
746,B,B,B,B,B
747,C,D,D,C,D
748,C,C,A,C,C
749,C,C,C,C,C
750,A,A,A,A,A
751,A,A,A,A,A
752,A,D,A,A,A
753,C,C,B,C,B
754,C,C,B,B,B
755,C,C,A,A,A
756,B,B,B,A,B
757,A,B,B,A,A
758,C,C,C,C,C
759,D,C,A,A,A
760,A,B,A,A,A
761,A,C,A,A,A
762,A,A,A,A,A
763,A,A,A,A,A
764,A,A,A,A,A
765,C,B,B,B,A
766,A,A,A,A,A
767,B,B,B,B,B
768,D,D,B,C,A
769,D,D,D,D,D
770,A,A,A,A,A
771,B,B,B,C,B
772,B,B,B,B,B
773,C,C,B,D,B
774,B,B,B,B,B
775,C,B,A,A,A
776,D,D,D,D,D
777,D,D,D,A,D
778,D,A,D,A,D
779,D,D,D,A,D
780,D,D,D,D,D
781,C,C,A,A,C
782,D,D,D,D,D
783,C,C,C,C,C
784,B,B,B,B,B
785,A,A,A,A,A
786,A,B,D,A,D
787,D,D,D,D,D
788,A,A,A,A,A
789,A,A,A,A,A
790,A,D,A,A,A
791,B,B,B,B,B
792,B,B,B,B,B
793,B,B,B,B,B
794,D,B,D,D,D
795,A,A,A,A,A
796,C,C,B,,C
797,A,D,D,D,D
798,B,B,B,B,B
799,B,D,A,A,A
800,C,C,B,C,A
801,A,A,A,A,A
802,A,D,D,A,D
803,B,B,B,B,B
804,D,A,D,A,D
805,C,B,C,C,C
806,A,A,A,A,A
807,A,A,A,A,A
808,A,A,A,A,A
809,C,B,B,B,D
810,D,D,D,D,D
811,A,A,A,A,A
812,A,A,A,A,A
813,A,A,A,A,A
814,B,B,B,B,B
815,A,A,A,A,A
816,B,B,B,B,B
817,B,B,B,B,B
818,C,C,C,A,C
819,D,D,D,D,D
820,A,A,A,C,A
821,B,D,D,D,D
822,D,B,D,D,D
823,A,A,A,A,A
824,A,A,A,A,A
825,A,A,A,A,A
826,A,A,A,A,A
827,A,D,A,A,A
828,A,A,A,A,A
829,A,A,A,A,A
830,A,A,A,A,A
831,A,C,A,A,A
832,C,C,C,C,C
833,C,C,A,A,A
834,A,A,A,A,A
835,A,D,A,D,A
836,B,B,B,D,B
837,B,B,B,B,D
838,B,B,B,B,B
839,A,B,B,B,B
840,C,C,C,C,C
841,D,C,A,B,D
842,B,B,B,B,B
843,C,C,B,C,C
844,A,C,A,B,C
845,D,D,D,B,D
846,A,A,A,A,A
847,A,A,A,A,A
848,B,A,B,A,B
849,A,A,A,A,A
850,A,A,A,A,A
851,C,C,C,C,C
852,C,C,C,C,C
853,D,D,B,A,A
854,A,A,A,B,A
855,B,B,B,D,B
856,D,C,D,D,D
857,A,D,D,D,D
858,A,B,B,B,B
859,D,D,D,D,D
860,B,B,B,A,B
861,B,B,B,A,A
862,A,D,A,A,A
863,C,A,A,A,A
864,A,A,A,A,A
865,D,D,D,B,D
866,B,B,A,A,A
867,C,C,C,A,C
868,C,C,A,D,C
869,B,B,B,A,C
870,B,B,B,C,B
871,B,B,B,B,B
872,B,B,B,B,B
873,B,B,B,C,A
874,D,C,B,D,D
875,A,A,C,B,C
876,A,A,A,A,A
877,C,C,C,C,C
878,A,A,A,A,A
879,C,C,B,A,B
880,A,A,A,A,A
881,A,C,A,A,A
882,B,B,B,B,B
883,B,B,B,B,B
884,B,B,B,B,B
885,B,B,B,B,B
886,A,A,A,A,A
887,B,B,B,B,B
888,C,A,A,A,A
889,B,B,A,A,A
890,C,C,B,C,C
891,A,A,A,A,A
892,C,C,A,C,C
893,B,B,A,A,B
894,B,B,B,B,B
895,A,A,A,A,A
896,B,A,A,D,A
897,A,A,A,A,A
898,A,A,A,A,A
899,B,B,B,B,B
900,A,C,C,A,C
901,D,,B,B,D
902,C,C,B,,B
903,A,,A,A,A
904,A,A,A,A,A
905,A,A,A,A,A
906,C,C,C,C,C
907,B,B,B,B,B
908,C,C,A,A,C
909,D,C,A,A,A
910,C,C,A,B,C
911,C,B,B,B,B
912,B,B,B,D,B
913,C,C,C,C,C
914,C,C,C,C,C
915,A,,A,B,A
916,A,A,A,A,A
917,A,A,D,B,D
918,B,B,B,B,B
919,A,A,A,A,A
920,A,D,A,A,A
921,A,C,A,A,A
922,B,B,A,A,A
923,A,A,A,A,A
924,B,B,B,A,B
925,A,D,D,D,D
926,D,A,A,B,A
927,A,B,B,D,A
928,A,A,A,A,A
929,C,C,C,C,C
930,A,D,A,A,A
931,C,C,C,C,C
932,B,B,B,A,B
933,D,D,D,D,D
934,A,A,A,A,A
935,B,B,B,B,B
936,C,C,C,C,C
937,A,A,A,B,A
938,A,A,B,A,D
939,A,C,A,A,A
940,C,C,A,A,D
941,A,A,A,A,A
942,A,A,A,D,D
943,C,C,C,C,C
944,A,C,B,B,B
945,A,A,A,A,A
946,B,B,A,A,A
947,A,A,A,A,A
948,A,A,A,A,A
949,D,D,A,N,D
950,A,A,A,A,A
951,C,C,C,C,C
952,A,A,A,A,A
953,B,B,B,B,B
954,C,C,A,A,A
955,A,C,A,C,A
956,A,A,A,A,A
957,A,A,A,A,A
958,A,B,A,B,A
959,B,B,A,A,A
960,B,B,B,B,B
961,B,B,B,B,B
962,A,A,A,A,A
963,B,A,D,A,D
964,A,A,A,A,A
965,A,A,A,A,A
966,A,A,A,A,A
967,A,C,A,A,A
968,A,A,B,A,A
969,C,C,A,A,A
970,C,C,C,C,C
971,A,,A,A,A
972,C,C,A,A,A
973,B,B,B,B,B
974,B,B,B,B,B
975,B,A,A,A,A
976,A,B,A,A,A
977,B,B,B,A,B
978,A,B,A,A,A
979,A,A,A,A,A
980,A,A,A,A,A
981,A,B,A,A,A
982,D,D,D,D,D
983,C,C,A,,C
984,D,D,D,D,D
985,B,B,B,A,B
986,C,C,C,B,C
987,A,A,A,A,A
988,B,B,B,B,B
989,B,B,A,A,A
990,C,C,B,C,C
991,D,D,D,D,D
992,A,B,B,A,B
993,D,B,A,D,A
994,A,D,D,D,D
995,C,B,B,B,B
996,A,,A,A,A
997,C,C,A,C,C
998,D,D,D,D,D
999,D,D,D,D,D
1000,A,,B,A,B
1001,B,B,A,A,A
1002,D,D,D,D,D
1003,D,D,D,D,D
1004,D,,D,D,D
1005,A,D,D,D,D
1006,A,C,A,,A
1007,D,,A,D,D
1008,A,D,A,A,D
1009,A,C,B,A,B
1010,B,B,B,B,B
1011,A,,A,A,A
1012,C,B,B,N,B
1013,A,,D,A,D
1014,C,,B,B,B
1015,B,,B,B,B
1016,D,D,D,D,D
1017,A,A,A,A,A
1018,D,D,D,D,D
1019,A,A,A,A,A
1020,A,A,A,A,A
1021,A,A,A,A,A
1022,D,D,D,D,D
1023,A,A,A,A,A
1024,B,B,B,B,B
1025,C,D,D,D,D
1026,A,A,A,A,A
1027,D,D,D,D,D
1028,C,D,D,D,D
1029,B,D,D,D,D
1030,D,D,D,D,D
1031,B,B,B,B,B
1032,A,A,A,A,A
1033,A,A,A,A,A
1034,A,A,A,A,A
1035,D,D,D,D,D
1036,D,D,D,D,D
1037,A,A,A,A,A
1038,C,C,C,C,C
1039,A,A,A,A,A
1040,A,A,A,A,A
1041,B,A,A,A,A
1042,B,B,B,B,B
1043,D,D,D,D,D
1044,D,D,D,D,D
1045,D,D,D,D,D
1046,A,D,D,D,D
1047,D,D,D,D,D
1048,D,D,D,D,D
1049,A,D,D,D,D
1050,D,D,D,D,D
1051,B,B,B,B,B
1052,B,A,A,A,A
1053,D,D,D,D,D
1054,C,B,B,B,B
1055,A,A,A,A,A
1056,A,A,A,A,A
1057,A,A,A,A,A
1058,B,B,B,B,B
1059,B,B,B,B,B
1060,A,A,A,A,A
1061,C,C,C,C,C
1062,D,D,D,D,D
1063,D,D,D,D,D
1064,D,D,D,D,D
1065,D,D,D,D,D
1066,D,D,D,D,D
1067,D,D,D,D,D
1068,D,D,D,D,D
1069,D,D,D,D,D
1070,D,D,D,D,D
1071,D,D,D,D,D
1072,D,D,D,D,D
1073,D,D,D,D,D
1074,D,D,D,D,D
1075,D,D,D,D,D
1076,D,D,D,D,D
1077,D,D,D,D,D
1078,A,A,A,A,A
1079,D,D,D,D,D
1080,D,D,D,D,D
1081,D,D,D,D,D
1082,D,D,D,D,D
1083,D,D,D,D,D
1084,D,D,D,D,D
1085,D,D,D,D,D
1086,D,D,D,D,D
1087,D,D,D,D,D
1088,D,D,D,D,D
1089,D,D,D,D,D
1090,D,D,D,D,D
1091,D,D,D,D,D
1092,D,D,D,D,D
1093,D,D,D,D,D
1094,D,D,D,D,D
1095,A,A,A,A,A
1096,B,B,B,B,B
1097,B,B,B,B,B
1098,C,C,C,C,C
1099,B,B,B,B,B
1100,D,D,D,D,D
1101,D,D,D,D,D
1102,D,D,D,D,D
1103,C,C,C,C,C
1104,A,A,A,A,A
1105,B,B,B,B,B
1106,B,B,B,B,B
1107,C,C,C,C,C
1108,A,A,A,A,A
1109,D,D,D,D,D
1110,D,D,D,D,D
1111,A,A,A,A,A
1112,D,A,A,A,A
1113,B,B,B,B,B
1114,D,D,D,D,D
1115,A,C,C,C,C
1116,D,D,D,D,D
1117,A,A,A,A,A
1118,A,A,A,A,A
1119,B,B,B,B,B
1120,A,D,D,D,D
1121,B,B,B,B,B
1122,D,D,D,D,D
1123,D,D,D,D,D
1124,C,C,C,C,C
1125,C,C,C,C,C
1126,A,A,A,A,A
1127,B,A,A,A,A
1128,A,A,A,A,A
1129,B,B,B,B,B
1130,C,C,C,C,C
1131,A,A,A,A,A
1132,B,B,B,B,B
1133,B,B,B,B,B
1134,B,B,B,B,B
1135,B,B,B,B,B
1136,D,D,D,D,D
1137,B,B,B,B,B
1138,A,A,A,A,A
1139,C,C,C,C,C
1140,A,A,A,A,A
1141,B,A,A,A,A
1142,C,C,C,C,C
1143,B,B,B,B,B
1144,D,D,D,D,D
1145,C,C,C,C,C
1146,B,B,B,B,B
1147,B,D,D,D,D
1148,B,B,B,B,B
