id,answer,GPT-3.5,LLama3-base,Mistral-7B-instruct-v2,Mistral-7B-instruct-v2-lora,LLama3-lora-v1,Mistral-7B-instruct-lora-v1
112,C,C,C,B,,C,
113,B,B,A,A,,B,
114,C,B,B,B,,C,
115,C,C,C,C,,C,
116,C,C,D,C,,D,
117,C,A,C,C,,C,
118,A,A,A,A,,A,
119,B,B,B,B,,B,
120,C,C,C,C,,C,
121,B,B,B,B,,B,
122,C,C,C,C,,C,
123,D,C,A,D,,D,
124,B,B,B,B,,B,
125,A,A,A,A,,A,
126,C,C,B,C,,C,
127,D,D,A,D,,A,
128,A,A,A,A,,A,
129,C,C,C,C,,C,
130,B,B,B,A,,B,
131,A,C,A,A,,D,
132,A,B,A,A,,A,
133,B,B,B,B,,B,
134,A,A,A,A,,A,
135,C,C,C,C,,C,
136,B,A,B,A,,B,
137,C,C,D,C,,C,
138,C,C,D,C,,D,
139,C,C,A,B,,A,
140,B,B,B,C,,B,
141,C,C,C,C,,C,
142,A,C,A,A,,A,
143,C,C,C,C,,C,
144,B,B,A,B,,B,
145,C,C,C,C,,C,
146,C,C,C,D,,C,
147,B,B,B,B,,B,
148,B,B,B,B,,B,
149,D,D,D,C,,D,
150,A,A,A,A,,A,
151,C,C,C,C,,C,
152,D,A,D,D,,D,
153,A,A,A,A,,A,
154,B,A,C,B,,C,
155,C,C,C,C,,C,
156,C,B,C,B,,C,
157,C,C,C,C,,C,
158,B,B,B,B,,B,
159,A,A,A,A,,A,
160,A,A,A,A,,D,
161,B,B,B,B,,B,
162,C,C,C,C,,C,
163,A,C,A,A,,A,
164,B,B,B,B,,B,
165,B,B,B,B,,B,
166,C,C,A,C,,A,
167,D,D,D,D,,D,
168,A,A,D,A,,D,
169,A,C,A,A,,A,
170,B,B,A,B,,B,
171,C,C,A,C,,C,
172,B,B,A,B,,A,
173,C,C,C,C,,C,
174,B,B,A,A,,A,
175,C,B,A,D,,C,
176,A,D,A,D,,A,
177,C,C,C,C,,C,
178,B,B,B,B,,B,
179,C,C,D,D,,D,
180,B,C,B,C,,B,
181,D,A,A,A,,A,
182,C,C,A,C,,C,
183,C,C,C,C,,C,
184,A,B,A,B,,A,
185,C,C,C,C,,C,
186,C,C,C,C,,C,
187,C,C,C,C,,C,
188,A,A,A,A,,A,
189,B,B,B,B,,B,
190,C,C,A,C,,C,
191,C,C,C,C,,C,
192,C,C,B,C,,C,
193,C,C,A,C,,C,
194,B,B,B,B,,B,
195,C,C,C,C,,C,
196,C,C,C,C,,C,
197,B,B,B,B,,B,
198,B,B,B,B,,B,
199,C,C,A,A,,C,
200,B,B,B,B,,B,
201,B,B,B,B,,B,
202,C,C,A,C,,A,
203,C,C,D,C,,D,
204,B,B,B,B,,B,
205,C,C,C,C,,C,
206,B,B,B,B,,B,
207,A,A,A,A,,A,
208,A,A,A,A,,A,
209,C,C,C,C,,C,
210,C,C,D,C,,D,
211,B,B,A,B,,B,
212,B,B,B,B,,B,
213,C,C,C,C,,C,
214,C,C,C,A,,C,
215,A,A,A,A,,A,
216,B,B,B,A,,B,
217,D,D,D,D,,D,
218,C,D,D,D,,D,
219,A,D,A,A,,A,
220,B,B,B,B,,B,
221,A,C,A,D,,A,
222,C,C,D,D,,C,
223,A,B,A,A,,A,
224,B,B,A,B,,B,
225,B,B,B,B,,B,
226,C,C,C,C,,C,
227,D,C,A,B,,C,
228,D,B,A,B,,A,
229,D,D,D,D,,D,
230,A,A,A,A,,A,
231,D,C,D,D,,D,
232,B,B,B,B,,B,
233,B,B,B,A,,B,
234,D,D,D,D,,D,
235,B,B,B,A,,B,
236,B,A,B,B,,B,
237,C,C,A,C,,A,
238,C,C,C,C,,C,
239,B,C,D,D,,D,
240,B,B,B,B,,B,
241,B,D,C,,,D,
242,C,B,A,D,,D,
243,B,D,A,B,,B,
244,C,C,C,C,,C,
245,C,C,C,C,,C,
246,C,C,C,C,,C,
247,B,B,B,B,,B,
248,B,B,B,B,,B,
249,A,A,A,A,,A,
250,C,C,C,A,,C,
251,B,B,B,B,,B,
252,C,C,A,C,,C,
253,C,C,B,C,,B,
254,C,C,B,B,,B,
255,A,A,A,A,,A,
256,B,B,A,A,,A,
257,B,B,B,B,,B,
258,B,B,B,D,,D,
259,A,A,A,A,,A,
260,C,C,C,C,,C,
261,D,D,D,D,,D,
262,B,B,B,B,,B,
263,A,A,A,A,,A,
264,C,C,C,C,,C,
265,B,B,B,B,,B,
266,A,A,A,A,,A,
267,B,B,B,B,,D,
268,C,C,C,C,,C,
269,C,C,C,N,,C,
270,B,B,B,N,,B,
271,C,C,A,A,,A,
272,B,B,B,B,,B,
273,B,B,A,B,,A,
274,A,A,A,A,,A,
275,B,B,B,B,,B,
276,D,C,D,C,,D,
277,C,C,C,C,,C,
278,D,D,D,A,,D,
279,B,B,B,A,,B,
280,C,C,C,C,,C,
281,A,B,A,A,,A,
282,C,C,C,C,,C,
283,B,B,B,B,,B,
284,B,B,B,D,,B,
285,A,A,A,A,,A,
286,B,D,B,D,,D,
287,A,A,A,A,,A,
288,B,B,B,A,,B,
289,C,C,C,C,,C,
290,C,C,C,C,,C,
291,B,B,B,B,,B,
292,C,C,B,C,,C,
293,A,D,A,A,,A,
294,D,D,D,N,,D,
295,C,C,C,C,,C,
296,C,C,A,B,,E,
297,C,C,B,C,,B,
298,A,A,A,A,,A,
299,B,B,A,A,,A,
300,C,C,B,C,,C,
301,D,C,D,D,,D,
302,C,B,B,B,,B,
303,B,B,B,N,,B,
304,D,C,A,D,,D,
305,B,B,B,C,,B,
306,B,B,B,B,,B,
307,D,D,A,A,,D,
308,C,C,B,B,,B,
309,A,B,B,B,,D,
310,A,A,A,A,,A,
311,B,B,B,B,,B,
312,C,D,D,A,,D,
313,B,B,B,A,,B,
314,B,B,B,A,,B,
315,C,B,A,N,,D,
316,B,B,B,B,,B,
317,A,A,A,A,,A,
318,B,B,B,B,,B,
319,A,A,A,B,,A,
320,C,C,C,C,,C,
321,B,B,B,C,,B,
322,B,B,A,B,,A,
323,B,B,B,B,,B,
324,C,C,A,A,,A,
325,C,C,C,C,,C,
326,B,B,B,B,,B,
327,B,B,B,B,,B,
328,D,B,B,D,,C,
329,D,D,D,D,,D,
330,C,C,C,B,,C,
331,B,B,A,B,,D,
332,B,C,B,B,,D,
333,B,B,B,A,,B,
334,A,A,A,A,,A,
335,C,C,C,C,,C,
336,D,D,D,D,,D,
337,A,A,A,A,,A,
338,A,A,A,A,,A,
339,A,D,D,B,,D,
340,A,A,A,A,,A,
341,A,A,A,C,,A,
342,C,C,C,C,,C,
343,C,C,B,B,,B,
344,A,A,A,A,,A,
345,C,C,C,C,,C,
346,B,B,B,B,,B,
347,B,B,B,B,,B,
348,C,C,A,C,,C,
349,D,D,D,A,,D,
350,A,A,A,A,,A,
351,B,B,B,B,,B,
352,D,D,D,D,,D,
353,A,A,A,A,,A,
354,A,C,B,A,,A,
355,B,B,B,B,,A,
356,A,A,A,A,,A,
357,A,A,A,A,,A,
358,C,C,C,C,,C,
359,B,B,B,B,,B,
360,C,C,C,C,,C,
361,B,B,B,B,,B,
362,C,C,C,C,,C,
363,C,C,C,C,,C,
364,D,D,D,D,,D,
365,B,B,B,B,,B,
366,C,C,C,C,,C,
367,B,B,B,B,,B,
368,B,B,B,B,,B,
369,C,C,A,A,,A,
370,B,B,B,B,,B,
371,C,C,A,C,,C,
372,A,C,A,A,,A,
373,B,C,A,,,A,
374,B,B,B,B,,B,
375,D,D,D,D,,D,
376,A,A,A,A,,A,
377,C,C,B,C,,C,
378,B,B,B,B,,B,
379,A,A,A,B,,A,
380,C,C,C,C,,C,
381,C,C,A,C,,D,
382,A,A,A,C,,A,
383,D,D,D,D,,D,
384,A,A,A,A,,A,
385,A,D,D,B,,D,
386,B,C,C,C,,C,
387,B,B,B,B,,B,
388,B,B,B,A,,B,
389,C,B,D,C,,D,
390,C,C,B,A,,C,
391,C,C,C,B,,C,
392,C,C,A,C,,C,
393,C,C,C,C,,C,
394,B,B,A,A,,A,
395,B,B,B,B,,B,
396,B,B,B,A,,B,
397,A,A,A,A,,A,
398,B,B,B,B,,B,
399,B,B,B,B,,B,
400,C,B,B,A,,C,
401,B,B,A,A,,A,
402,D,D,D,D,,D,
403,C,C,C,C,,C,
404,B,B,B,B,,B,
405,B,B,B,B,,B,
406,C,C,C,C,,C,
407,C,C,A,C,,C,
408,B,B,B,B,,B,
409,B,B,B,B,,B,
410,B,B,B,B,,B,
411,B,C,A,N,,A,
412,A,A,A,A,,A,
413,C,C,C,C,,C,
414,A,B,A,D,,D,
415,A,D,A,A,,A,
416,B,A,A,A,,A,
417,A,D,D,D,,D,
418,B,B,B,B,,B,
419,D,B,B,B,,D,
420,A,B,A,B,,A,
421,C,C,C,C,,C,
422,A,A,A,A,,A,
423,B,B,A,A,,A,
424,D,D,A,D,,D,
425,B,B,B,B,,B,
426,B,B,A,A,,A,
427,C,C,A,C,,C,
428,C,C,C,C,,C,
429,B,B,B,B,,B,
430,B,B,B,B,,B,
431,B,B,B,B,,D,
432,C,C,C,C,,C,
433,B,B,B,B,,B,
434,A,A,A,A,,A,
435,C,B,B,B,,B,
436,B,B,B,B,,B,
437,C,B,B,B,,C,
438,A,C,A,A,,A,
439,B,B,B,B,,B,
440,C,A,A,A,,A,
441,B,B,B,B,,B,
442,A,C,A,A,,A,
443,C,B,A,A,,A,
444,A,A,A,D,,D,
445,B,B,B,B,,B,
446,B,C,A,A,,C,
447,C,C,C,C,,C,
448,B,B,B,B,,B,
449,C,C,C,C,,C,
450,C,C,B,A,,C,
451,A,C,A,C,,A,
452,C,C,C,C,,C,
453,B,B,B,D,,B,
454,C,C,C,C,,C,
455,C,C,A,B,,C,
456,B,B,B,,,B,
457,B,B,B,B,,D,
458,C,C,C,C,,C,
459,D,D,D,D,,D,
460,B,D,B,B,,B,
461,C,C,C,C,,C,
462,B,B,B,B,,B,
463,C,D,D,D,,D,
464,B,B,B,B,,B,
465,A,C,A,B,,D,
466,C,D,D,C,,D,
467,B,C,B,C,,B,
468,C,C,C,C,,C,
469,B,A,A,C,,A,
470,A,D,A,C,,A,
471,D,A,A,A,,A,
472,A,A,A,A,,A,
473,D,B,A,A,,D,
474,B,B,B,B,,B,
475,C,C,C,C,,C,
476,B,B,B,B,,B,
477,C,C,C,C,,C,
478,B,B,B,A,,B,
479,C,A,A,A,,A,
480,D,D,D,D,,D,
481,B,C,D,,,D,
482,A,C,A,D,,A,
483,B,B,B,C,,B,
484,D,A,A,A,,A,
485,B,B,B,B,,B,
486,D,D,D,D,,D,
487,B,C,C,B,,C,
488,A,A,A,A,,A,
489,B,D,D,D,,D,
490,D,C,A,A,,A,
491,A,C,A,B,,A,
492,C,C,A,A,,B,
493,B,D,D,C,,D,
494,A,D,A,A,,A,
495,A,C,A,A,,A,
496,A,A,A,A,,A,
497,B,B,B,B,,B,
498,C,B,B,C,,C,
499,A,C,A,C,,C,
500,C,C,C,C,,C,
501,A,A,A,A,,A,
502,A,B,A,D,,A,
503,C,C,C,C,,C,
504,D,D,D,D,,D,
505,A,A,A,A,,A,
506,C,C,C,C,,C,
507,C,C,B,C,,C,
508,B,B,B,D,,D,
509,C,C,A,C,,A,
510,B,B,B,B,,B,
511,B,B,B,B,,B,
512,D,D,D,D,,D,
513,C,C,C,C,,C,
514,C,C,C,C,,C,
515,C,C,A,,,A,
516,B,B,B,B,,B,
517,C,C,B,B,,B,
518,A,C,A,A,,A,
519,A,A,A,D,,D,
520,A,D,D,A,,D,
521,D,C,A,D,,D,
522,C,B,A,B,,C,
523,D,D,A,D,,D,
524,B,C,A,B,,D,
525,C,C,A,A,,C,
526,B,C,A,,,C,
527,B,A,A,C,,A,
528,B,C,A,C,,A,
529,A,D,A,N,,D,
530,B,C,A,B,,A,
531,B,B,A,A,,A,
532,C,B,A,,,C,
533,B,B,B,B,,B,
534,B,B,B,B,,B,
535,C,B,A,A,,A,
536,A,D,A,B,,A,
537,B,B,A,,,A,
538,B,C,A,A,,A,
539,C,D,A,B,,D,
540,A,A,A,A,,A,
541,B,B,A,D,,A,
542,B,C,A,A,,A,
543,C,C,A,C,,D,
544,A,A,A,A,,A,
545,C,B,B,B,,B,
546,B,B,B,B,,B,
547,A,A,A,A,,A,
548,C,C,C,A,,C,
549,B,B,B,A,,B,
550,A,C,A,A,,A,
551,B,B,B,B,,B,
552,B,D,B,C,,A,
553,D,D,A,,,C,
554,B,B,A,A,,B,
555,A,C,A,A,,C,
556,C,C,A,C,,B,
557,C,B,C,B,,C,
558,B,B,A,A,,A,
559,C,C,B,B,,B,
560,A,C,B,B,,C,
561,B,B,B,A,,B,
562,D,B,B,,,C,
563,B,B,B,B,,B,
564,B,D,B,D,,D,
565,A,B,B,A,,C,
566,C,C,B,,,C,
567,A,A,A,A,,A,
568,C,C,A,C,,C,
569,C,C,B,,,C,
570,D,B,B,A,,D,
571,C,C,B,B,,B,
572,C,C,A,A,,C,
573,B,B,B,B,,B,
574,C,B,B,B,,B,
575,B,B,A,A,,A,
576,C,C,A,,,A,
577,B,B,A,,,A,
578,B,B,A,B,,C,
579,B,C,B,A,,C,
580,B,B,B,B,,B,
581,D,B,A,,,C,
582,B,A,A,A,,D,
583,B,C,A,A,,A,
584,B,C,A,A,,C,
585,B,B,B,B,,B,
586,D,B,A,,,B,
587,C,D,A,B,,C,
588,B,B,B,B,,B,
589,B,D,A,,,C,
590,A,A,A,A,,A,
591,B,A,B,B,,B,
592,A,A,A,A,,D,
593,B,B,A,C,,C,
594,C,B,A,B,,A,
595,C,C,A,,,C,
596,B,B,B,B,,B,
597,B,C,B,B,,B,
598,B,B,B,B,,B,
599,A,A,A,A,,A,
600,B,C,B,B,,B,
601,D,D,D,A,,D,
602,D,D,B,B,,B,
603,A,B,A,A,,A,
604,D,D,D,D,,D,
605,B,C,A,N,,D,
606,A,C,A,C,,A,
607,D,C,A,A,,D,
608,A,C,A,C,,A,
609,C,C,A,C,,A,
610,B,B,B,B,,B,
611,C,C,D,C,,D,
612,B,B,B,B,,B,
613,A,A,A,A,,A,
614,B,B,B,B,,B,
615,B,B,B,B,,B,
616,C,C,C,C,,C,
617,C,A,A,C,,A,
618,A,D,D,A,,D,
619,C,A,A,A,,A,
620,A,A,A,A,,A,
621,B,B,B,C,,B,
622,C,C,C,C,,C,
623,A,A,A,A,,A,
624,C,C,C,C,,C,
625,A,A,A,A,,A,
626,A,A,A,A,,A,
627,B,B,B,B,,B,
628,A,A,A,B,,A,
629,A,A,A,A,,A,
630,A,A,A,A,,A,
631,A,A,A,A,,A,
632,A,A,A,A,,A,
633,D,D,A,A,,A,
634,D,D,D,D,,D,
635,A,A,A,A,,A,
636,A,D,B,A,,D,
637,A,A,A,A,,A,
638,A,D,D,A,,A,
639,A,B,B,B,,B,
640,A,A,A,A,,A,
641,A,A,A,A,,A,
642,A,B,A,A,,A,
643,D,C,C,C,,C,
644,A,A,A,A,,A,
645,B,A,A,A,,B,
646,B,C,B,B,,B,
647,B,B,B,A,,A,
648,B,B,B,B,,B,
649,B,B,A,A,,A,
650,B,B,B,B,,B,
651,C,C,C,C,,C,
652,C,C,C,C,,C,
653,B,B,B,B,,B,
654,C,C,C,C,,C,
655,A,A,A,A,,A,
656,A,A,A,A,,A,
657,A,A,A,A,,A,
658,A,A,A,A,,A,
659,C,A,C,A,,C,
660,B,B,B,B,,B,
661,C,C,A,C,,C,
662,B,C,B,B,,C,
663,A,A,A,A,,A,
664,B,B,B,D,,B,
665,D,D,A,D,,D,
666,A,D,A,A,,A,
667,A,A,A,A,,A,
668,A,C,B,A,,B,
669,C,C,C,C,,C,
670,B,B,B,B,,B,
671,A,B,A,B,,A,
672,B,B,B,B,,B,
673,C,C,C,C,,C,
674,B,B,B,B,,B,
675,C,C,C,C,,C,
676,B,B,B,B,,B,
677,A,A,A,A,,A,
678,D,C,B,A,,D,
679,A,A,A,A,,A,
680,B,C,B,A,,B,
681,A,A,A,A,,A,
682,A,C,A,A,,A,
683,A,A,A,A,,A,
684,C,C,A,C,,C,
685,C,C,C,C,,C,
686,B,B,B,B,,B,
687,B,B,B,B,,B,
688,A,A,A,A,,A,
689,D,D,D,D,,D,
690,B,A,A,A,,A,
691,C,C,C,C,,C,
692,C,C,C,C,,C,
693,A,B,A,A,,A,
694,B,B,B,D,,A,
695,C,C,C,C,,C,
696,D,D,D,D,,D,
697,A,A,B,D,,B,
698,A,C,A,A,,A,
699,A,A,A,A,,A,
700,A,A,A,A,,A,
701,C,A,A,C,,C,
702,B,B,B,B,,B,
703,A,A,A,A,,A,
704,C,C,C,C,,C,
705,C,D,C,C,,C,
706,B,B,B,B,,B,
707,B,B,B,B,,B,
708,C,C,A,A,,D,
709,C,C,C,C,,C,
710,C,C,C,C,,C,
711,B,B,A,A,,A,
712,B,B,B,B,,B,
713,B,B,B,D,,D,
714,B,C,B,N,,B,
715,A,A,A,A,,A,
716,C,C,C,C,,C,
717,B,B,B,B,,B,
718,C,C,D,D,,D,
719,B,B,B,B,,B,
720,B,A,B,B,,B,
721,D,D,D,D,,D,
722,B,B,B,B,,B,
723,C,C,C,C,,C,
724,C,C,C,C,,C,
725,A,A,A,A,,A,
726,D,D,D,D,,D,
727,A,A,A,A,,A,
728,B,B,B,B,,B,
729,C,C,A,C,,C,
730,D,D,D,A,,D,
731,C,C,C,C,,C,
732,C,C,A,C,,A,
733,D,D,A,A,,A,
734,A,A,A,B,,A,
735,A,A,A,A,,A,
736,B,B,B,B,,B,
737,C,C,B,C,,D,
738,B,B,B,B,,B,
739,C,C,C,A,,C,
740,A,A,A,A,,A,
741,C,B,D,A,,D,
742,B,B,A,A,,A,
743,B,B,B,A,,B,
744,D,C,D,D,,D,
745,C,C,C,C,,C,
746,D,D,B,B,,B,
747,A,A,A,A,,A,
748,B,B,B,B,,B,
749,C,D,D,C,,D,
750,C,C,A,C,,C,
751,C,C,C,C,,C,
752,A,A,A,A,,A,
753,A,A,A,A,,A,
754,A,D,A,A,,A,
755,C,C,B,C,,B,
756,C,C,B,B,,B,
757,C,C,A,A,,A,
758,B,B,B,A,,B,
759,A,B,B,A,,A,
760,C,C,C,C,,C,
761,D,C,A,A,,A,
762,A,B,A,A,,A,
763,A,C,A,A,,A,
764,A,A,A,A,,A,
765,A,A,A,A,,A,
766,A,A,A,A,,A,
767,C,B,B,B,,A,
768,A,A,A,A,,A,
769,B,B,B,B,,B,
770,D,D,B,C,,A,
771,D,D,D,D,,D,
772,A,A,A,A,,A,
773,B,B,B,C,,B,
774,B,B,B,B,,B,
775,C,C,B,D,,B,
776,B,B,B,B,,B,
777,C,B,A,A,,A,
778,D,D,D,D,,D,
779,D,D,D,A,,D,
780,D,A,D,A,,D,
781,D,D,D,A,,D,
782,D,D,D,D,,D,
783,C,C,A,A,,C,
784,D,D,D,D,,D,
785,C,C,C,C,,C,
786,B,B,B,B,,B,
787,A,A,A,A,,A,
788,A,B,D,A,,D,
789,D,D,D,D,,D,
790,A,A,A,A,,A,
791,A,A,A,A,,A,
792,A,D,A,A,,A,
793,B,B,B,B,,B,
794,B,B,B,B,,B,
795,B,B,B,B,,B,
796,D,B,D,D,,D,
797,A,A,A,A,,A,
798,C,C,B,,,C,
799,A,D,D,D,,D,
800,B,B,B,B,,B,
801,B,D,A,A,,A,
802,C,C,B,C,,A,
803,A,A,A,A,,A,
804,A,D,D,A,,D,
805,B,B,B,B,,B,
806,D,A,D,A,,D,
807,C,B,C,C,,C,
808,A,A,A,A,,A,
809,A,A,A,A,,A,
810,A,A,A,A,,A,
811,C,B,B,B,,D,
812,D,D,D,D,,D,
813,A,A,A,A,,A,
814,A,A,A,A,,A,
815,A,A,A,A,,A,
816,B,B,B,B,,B,
817,A,A,A,A,,A,
818,B,B,B,B,,B,
819,B,B,B,B,,B,
820,C,C,C,A,,C,
821,D,D,D,D,,D,
822,A,A,A,C,,A,
823,B,D,D,D,,D,
824,D,B,D,D,,D,
825,A,A,A,A,,A,
826,A,A,A,A,,A,
827,A,A,A,A,,A,
828,A,A,A,A,,A,
829,A,D,A,A,,A,
830,A,A,A,A,,A,
831,A,A,A,A,,A,
832,A,A,A,A,,A,
833,A,C,A,A,,A,
834,C,C,C,C,,C,
835,C,C,A,A,,A,
836,A,A,A,A,,A,
837,A,D,A,D,,A,
838,B,B,B,D,,B,
839,B,B,B,B,,D,
840,B,B,B,B,,B,
841,A,B,B,B,,B,
842,C,C,C,C,,C,
843,D,C,A,B,,D,
844,B,B,B,B,,B,
845,C,C,B,C,,C,
846,A,C,A,B,,C,
847,D,D,D,B,,D,
848,A,A,A,A,,A,
849,A,A,A,A,,A,
850,B,A,B,A,,B,
851,A,A,A,A,,A,
852,A,A,A,A,,A,
853,C,C,C,C,,C,
854,C,C,C,C,,C,
855,D,D,B,A,,A,
856,A,A,A,B,,A,
857,B,B,B,D,,B,
858,D,C,D,D,,D,
859,A,D,D,D,,D,
860,A,B,B,B,,B,
861,D,D,D,D,,D,
862,B,B,B,A,,B,
863,B,B,B,A,,A,
864,A,D,A,A,,A,
865,C,A,A,A,,A,
866,A,A,A,A,,A,
867,D,D,D,B,,D,
868,B,B,A,A,,A,
869,C,C,C,A,,C,
870,C,C,A,D,,C,
871,B,B,B,A,,C,
872,B,B,B,C,,B,
873,B,B,B,B,,B,
874,B,B,B,B,,B,
875,B,B,B,C,,A,
876,D,C,B,D,,D,
877,A,A,C,B,,C,
878,A,A,A,A,,A,
879,C,C,C,C,,C,
880,A,A,A,A,,A,
881,C,C,B,A,,B,
882,A,A,A,A,,A,
883,A,C,A,A,,A,
884,B,B,B,B,,B,
885,B,B,B,B,,B,
886,B,B,B,B,,B,
887,B,B,B,B,,B,
888,A,A,A,A,,A,
889,B,B,B,B,,B,
890,C,A,A,A,,A,
891,B,B,A,A,,A,
892,C,C,B,C,,C,
893,A,A,A,A,,A,
894,C,C,A,C,,C,
895,B,B,A,A,,B,
896,B,B,B,B,,B,
897,A,A,A,A,,A,
898,B,A,A,D,,A,
899,A,A,A,A,,A,
900,A,A,A,A,,A,
901,B,B,B,B,,B,
902,A,C,C,A,,C,
903,D,,B,B,,D,
904,C,C,B,,,B,
905,A,,A,A,,A,
906,A,A,A,A,,A,
907,A,A,A,A,,A,
908,C,C,C,C,,C,
909,B,B,B,B,,B,
910,C,C,A,A,,C,
911,D,C,A,A,,A,
912,C,C,A,B,,C,
913,C,B,B,B,,B,
914,B,B,B,D,,B,
915,C,C,C,C,,C,
916,C,C,C,C,,C,
917,A,,A,B,,A,
918,A,A,A,A,,A,
919,A,A,D,B,,D,
920,B,B,B,B,,B,
921,A,A,A,A,,A,
922,A,D,A,A,,A,
923,A,C,A,A,,A,
924,B,B,A,A,,A,
925,A,A,A,A,,A,
926,B,B,B,A,,B,
927,A,D,D,D,,D,
928,D,A,A,B,,A,
929,A,B,B,D,,A,
930,A,A,A,A,,A,
931,C,C,C,C,,C,
932,A,D,A,A,,A,
933,C,C,C,C,,C,
934,B,B,B,A,,B,
935,D,D,D,D,,D,
936,A,A,A,A,,A,
937,B,B,B,B,,B,
938,C,C,C,C,,C,
939,A,A,A,B,,A,
940,A,A,B,A,,D,
941,A,C,A,A,,A,
942,C,C,A,A,,D,
943,A,A,A,A,,A,
944,A,A,A,D,,D,
945,C,C,C,C,,C,
946,A,C,B,B,,B,
947,A,A,A,A,,A,
948,B,B,A,A,,A,
949,A,A,A,A,,A,
950,A,A,A,A,,A,
951,D,D,A,N,,D,
952,A,A,A,A,,A,
953,C,C,C,C,,C,
954,A,A,A,A,,A,
955,B,B,B,B,,B,
956,C,C,A,A,,A,
957,A,C,A,C,,A,
958,A,A,A,A,,A,
959,A,A,A,A,,A,
960,A,B,A,B,,A,
961,B,B,A,A,,A,
962,B,B,B,B,,B,
963,B,B,B,B,,B,
964,A,A,A,A,,A,
965,B,A,D,A,,D,
966,A,A,A,A,,A,
967,A,A,A,A,,A,
968,A,A,A,A,,A,
969,A,C,A,A,,A,
970,A,A,B,A,,A,
971,C,C,A,A,,A,
972,C,C,C,C,,C,
973,A,,A,A,,A,
974,C,C,A,A,,A,
975,B,B,B,B,,B,
976,B,B,B,B,,B,
977,B,A,A,A,,A,
978,A,B,A,A,,A,
979,B,B,B,A,,B,
980,A,B,A,A,,A,
981,A,A,A,A,,A,
982,A,A,A,A,,A,
983,A,B,A,A,,A,
984,D,D,D,D,,D,
985,C,C,A,,,C,
986,D,D,D,D,,D,
987,B,B,B,A,,B,
988,C,C,C,B,,C,
989,A,A,A,A,,A,
990,B,B,B,B,,B,
